,louvain,pseudotime
0,0,0.5022177
1,0,0.47710028
2,3,0.46958676
3,3,0.24759008
4,3,0.43824825
5,3,0.4529602
6,3,0.44060203
7,0,0.5045788
8,3,0.3905822
9,0,0.5063154
10,3,0.27234232
11,0,0.50345975
12,3,0.44663838
13,0,0.508985
14,3,0.23385577
15,3,0.42386916
16,0,0.50442
17,3,0.44854996
18,0,0.50310916
19,3,0.45689708
20,3,0.46444207
21,0,0.5209662
22,0,0.5038719
23,3,0.03568818
24,3,0.43401507
25,0,0.49356765
26,3,0.19380142
27,3,0.46098098
28,3,0.39778417
29,0,0.48257035
30,3,0.44501284
31,3,0.073074356
32,3,0.27415255
33,3,0.36558533
34,3,0.4807812
35,3,0.3861543
36,0,0.5128811
37,0,0.5054606
38,3,0.44067407
39,3,0.059415866
40,2,0.6287014
41,3,0.44413504
42,3,0.18606825
43,0,0.5021408
44,3,0.4290886
45,3,0.4392058
46,3,0.45826733
47,0,0.48355922
48,3,0.12547897
49,3,0.45061043
50,3,0.47069755
51,3,0.44400257
52,3,0.09441605
53,3,0.41883293
54,0,0.4898125
55,3,0.10374896
56,3,0.45738548
57,0,0.48880312
58,0,0.49841347
59,2,0.6452062
60,3,0.23529567
61,3,0.46428117
62,3,0.45930105
63,0,0.5031146
64,3,0.24435765
65,1,0.5623288
66,3,0.46597764
67,0,0.48250085
68,3,0.42060867
69,3,0.09629323
70,3,0.44435343
71,0,0.5014621
72,3,0.36363062
73,3,0.28679448
74,3,0.4376709
75,0,0.5091211
76,3,0.4769306
77,3,0.4728949
78,3,0.24325871
79,3,0.2853181
80,3,0.006301639
81,0,0.49868104
82,3,0.11594132
83,3,0.42994708
84,3,0.4229323
85,0,0.50130045
86,0,0.4589003
87,3,0.46628582
88,3,0.2382084
89,3,0.34524646
90,0,0.506475
91,0,0.5107777
92,3,0.42345873
93,0,0.49879763
94,3,0.42353332
95,3,0.38799813
96,3,0.45648816
97,0,0.50109196
98,3,0.15337963
99,0,0.5095588
100,3,0.19744897
101,3,0.14048502
102,3,0.32956508
103,0,0.5038355
104,3,0.45121437
105,0,0.48594156
106,3,0.38429114
107,3,0.47343346
108,0,0.48999435
109,0,0.49151087
110,1,0.59191734
111,0,0.51085174
112,0,0.48809287
113,3,0.42796028
114,3,0.3940456
115,3,0.4725865
116,0,0.49225023
117,0,0.5025559
118,3,0.1587499
119,0,0.5155738
120,3,0.43886432
121,0,0.47815725
122,0,0.50564265
123,3,0.40798128
124,1,0.5532564
125,3,0.46002778
126,3,0.43251187
127,3,0.35138276
128,0,0.4711043
129,3,0.45198116
130,3,0.4377755
131,3,0.2837811
132,3,0.44301605
133,3,0.46274698
134,0,0.5071395
135,0,0.496305
136,0,0.5053763
137,0,0.4858433
138,3,0.44784003
139,3,0.4284773
140,3,0.44656944
141,3,0.06007137
142,3,0.45524567
143,3,0.45526415
144,0,0.512966
145,0,0.50906307
146,3,0.45280126
147,3,0.46093145
148,0,0.47128668
149,3,0.28019047
150,3,0.46790147
151,3,0.16768453
152,3,0.40413633
153,3,0.45163396
154,3,0.08249344
155,3,0.45138505
156,3,0.29691306
157,3,0.4569456
158,3,0.45062235
